resposta;categoria;dica1;dica2;dica3;dica4;dica5;dica6;dica7;dica8;dica9;dica10
Steve Jobs;Pessoa;Fui um dos co-fundadores da Apple Inc. em 1976;Nasci em 24 de fevereiro de 1955 em São Francisco, Califórnia, EUA;Fui demitido da Apple em 1985, mas retornei em 1997;Liderei o lançamento de produtos icônicos, como o Macintosh, iPod, iPhone e iPad;Sou conhecido por meu estilo de liderança carismático e visionário;Fundei a empresa de animação Pixar em 1986, que mais tarde foi adquirida pela Disney;Faleci em 5 de outubro de 2011, vítima de um câncer no pâncreas;Realizava apresentações de produtos memoráveis, as chamadas "keynotes";Buscava incessantemente a perfeição no design e na usabilidade dos produtos;Deixei um legado duradouro na indústria de tecnologia
Albert Einstein;Pessoa;Nasci em 1879 em Ulm, Alemanha;Desenvolvi a teoria da relatividade, um dos pilares da física moderna;Ganhei o Prêmio Nobel de Física em 1921 por minha explicação do efeito fotoelétrico;Fiquei famoso pela equação E=mc², que descreve a equivalência entre massa e energia;Trabalhei no Instituto de Estudos Avançados de Princeton, onde passei os últimos anos de minha vida;Publiquei mais de 300 trabalhos científicos em diversas áreas da física;Sou conhecido por minha teoria especial da relatividade, que descreve o comportamento do espaço e do tempo em altas velocidades;Minha teoria geral da relatividade, publicada em 1915, forneceu uma nova compreensão da gravidade;Sou lembrado como um dos maiores cientistas da história, cujo trabalho teve um impacto duradouro na ciência;Minha nacionalidade é alemã, embora tenha passado grande parte de minha vida adulta em outros países.
Linux;Coisa;Sou um sistema operacional de código aberto;Fui inicialmente desenvolvido por Linus Torvalds em 1991;Baseio-me no kernel Linux;Ofereço uma ampla variedade de distribuições, como Ubuntu, Fedora, Debian e CentOS;Posso ser executado em uma variedade de dispositivos, incluindo computadores pessoais, servidores, dispositivos móveis e sistemas embarcados;Sou conhecido pela estabilidade, segurança e desempenho;Utilizo um modelo de licença GNU GPL (General Public License);Posso ser personalizado de acordo com as necessidades do usuário;Ofereço uma ampla variedade de aplicativos e softwares gratuitos e de código aberto;Sou amplamente adotado em ambientes corporativos e de servidores devido à minha confiabilidade e flexibilidade
Vale do Silício;Lugar;Estou localizado na região sul da Baía de São Francisco, Califórnia;Sou conhecido como o principal centro global de inovação e tecnologia;Sou lar de muitas das maiores empresas de tecnologia do mundo, como Google, Apple, Facebook e Tesla;Sou marcado por uma densa concentração de empresas de tecnologia, startups e centros de pesquisa;Fui o berço de muitas das maiores revoluções tecnológicas das últimas décadas;Atraio empreendedores, investidores e talentos de todo o mundo;Possuo uma cultura única, caracterizada pela inovação, empreendedorismo e tolerância ao risco;Sou o centro de uma das economias mais dinâmicas e influentes do mundo;Tenho um clima ameno e sou conhecido por minha qualidade de vida;Continuo a ser um ícone global de progresso e desenvolvimento tecnológico
Processador;Coisa;Sou um componente essencial em computadores e dispositivos eletrônicos;Sou responsável por executar instruções e realizar cálculos;Variedade de fabricantes, incluindo Intel, AMD, ARM e Qualcomm;Posso ter diferentes arquiteturas, como x86, x64, ARM e RISC;Minha velocidade é medida em Hertz (Hz) ou Gigahertz (GHz);Possuo múltiplos núcleos, o que permite processar várias tarefas simultaneamente;Sou vital para o desempenho geral do sistema;Evoluí ao longo do tempo, aumentando a eficiência e o desempenho;Encontrado em uma variedade de dispositivos, desde computadores pessoais até smartphones e dispositivos embarcados;Minha escolha é importante ao construir ou atualizar um sistema de computador
Nikola Tesla;Pessoa;Nasci em 1856 em Smiljan, que na época fazia parte do Império Austríaco, atual Croácia;Sou conhecido por minhas contribuições para o desenvolvimento do sistema de corrente alternada (AC);Trabalhei com Thomas Edison por um tempo, mas nossas visões sobre eletricidade divergiram;Minha pesquisa e inovações incluem a bobina de Tesla, a corrente polifásica e o controle remoto;Propus a construção de uma torre para transmitir energia sem fio, conhecida como Wardenclyffe Tower;Patenteie mais de 300 invenções em todo o mundo;Contribuí significativamente para o campo da engenharia elétrica e da física;Minha visão incluía o desenvolvimento de tecnologias para fornecer energia livre para o mundo;Morri em 1943, em Nova York, após uma vida dedicada à ciência e à inovação;Sou lembrado como um dos maiores inventores e visionários da história
Canadá;Lugar;Sou o segundo maior país do mundo em área terrestre;Minha capital é Ottawa;Tenho duas línguas oficiais, inglês e francês;Tenho uma população diversificada, composta por pessoas de todo o mundo;Sou conhecido por minha beleza natural, incluindo montanhas, florestas e lagos;Tenho um sistema de saúde público universal;Minhas cidades mais conhecidas incluem Toronto, Vancouver e Montreal;Sou famoso por minha qualidade de vida e padrão de vida elevado;Tenho uma forte indústria de recursos naturais, incluindo petróleo, gás e mineração;Sou lar de diversas culturas e tradições, o que contribui para minha rica identidade nacional
GitHub;Coisa;Sou uma plataforma de hospedagem de código-fonte baseada em Git;Fui lançado em 2008 por Chris Wanstrath, PJ Hyett e Tom Preston-Werner;Facilito o trabalho colaborativo em projetos de software;Sou amplamente utilizado por desenvolvedores para controle de versão e colaboração;Ofereço recursos como controle de versão, rastreamento de problemas e integração contínua;Sou uma das maiores comunidades de desenvolvedores do mundo;Facilito a contribuição para projetos de código aberto;Sou propriedade da Microsoft desde 2018;Meus repositórios podem ser públicos ou privados, dependendo da necessidade do usuário;Sou uma ferramenta essencial para desenvolvedores de software modernos
Violão;Coisa;Sou um instrumento musical de cordas;Tenho seis cordas em geral, divididas em três grupos;Posso ser tocado tanto com os dedos quanto com uma palheta;Minha origem remonta ao século XVIII na Espanha;Sou um dos instrumentos mais populares do mundo;Posso ser usado em uma variedade de gêneros musicais, incluindo folk, rock, pop e clássico;Existem diferentes tipos de mim;Meus acordes são frequentemente usados para acompanhar músicas e compor canções;Toco uma ampla variedade de notas e escalas musicais;Meus padrões de dedilhado e técnicas de strumming são essenciais para dominar o instrumento
Bill Gates;Pessoa;Nasci em 28 de outubro de 1955, em Seattle, Washington, EUA;Fundei a Microsoft em 1975, junto com Paul Allen;Sou conhecido por ser um dos pioneiros da revolução dos computadores pessoais;Desempenhei um papel fundamental no desenvolvimento do sistema operacional Windows;Tornou-me o homem mais rico do mundo na década de 1990;Ao longo dos anos, dediquei uma parte significativa da minha riqueza à filantropia;Juntamente com minha esposa, Melinda Gates, fundei a Fundação Bill e Melinda Gates;Através da minha fundação, estou envolvido em várias iniciativas de saúde global, educação e desenvolvimento;Minha visão para o futuro inclui avanços tecnológicos e o combate à pobreza extrema;Embora tenha deixado o cargo de CEO da Microsoft, continuo envolvido em várias atividades empresariais e filantrópicas
